Column1,productname,productsubname,productprice,productactualprice,productrate
0,bewakoof x dc,Men's Green Batman Graphic Printed Oversized T-shirt,749,1799,4.5
1,bewakoof x dc,Men's Black Adam Graphic Printed T-shirt,499,999,0
2,Bewakoof®,Men's Black Customizable T-shirt,649,1199,0
3,bewakoof x dc,Men's Black Batman Outline Logo T-shirt,499,1099,4.5
4,bewakoof x marvel,Men's Black Deadpool Duo Graphic Printed Oversized T-shirt,799,1949,4.5
5,bewakoof x marvel,Men's Black Deadpool Graphic Printed Oversized T-shirt,599,1499,4.4
6,bewakoof x tom & jerry,Men's Green More Cheese Graphic Printed T-shirt,420,1299,0
7,bewakoof x tom & jerry,Men's Black Certified Troublemakers (TJL) Graphic Printed T-shirt,499,1099,4.6
8,Bewakoof®,Men's Yellow Textured Oversized Flatknit T-shirt,769,1899,4.5
9,bewakoof x naruto,Men's Green Team Kakashi Graphic Printed Oversized T-shirt,549,1399,4.5
10,bewakoof x nasa,Men's Red NASA Astronaut Graphic Printed T-shirt,399,999,4.3
11,bewakoof x marvel,Men's Black Wolverine Graphic Printed Oversized T-shirt,599,1699,4.4
12,Bewakoof®,Men's White T-shirt,499,999,4.3
13,Bewakoof®,Men's Black Reckless Graphic Printed Oversized T-shirt,619,1299,4.3
14,Bewakoof®,Men's Black Varsity 12 Graphic Printed Oversized T-shirt,899,1599,4.6
15,bewakoof x harry potter,Men's Blue Order of the Phoenix Graphic Printed T-shirt,499,1149,0
16,Bewakoof®,Men's Grey Fearless Graphic Printed Oversized T-shirt,599,1499,4.5
17,Bewakoof®,Men's Blue Make Tracks Graphic Printed T-shirt,499,999,4.3
18,Bewakoof®,Men's Red Hunter Graphic Printed Oversized T-shirt,689,1499,4.5
19,Bewakoof®,Men's White & Black NY Color Block Oversized Polo T-shirt,829,1399,4.4
20,bewakoof x house of the dragon,Men's Black House Of The Dragon Iconic Graphic Printed T-shirt,399,999,0
21,Bewakoof®,Men's Blue Rider Vroom Panda Graphic Printed T-shirt,499,1099,4.4
22,Bewakoof®,Men's Blue & Green Striped Flatknit T-shirt,929,2199,4.5
23,bewakoof x naruto,Men's Blue Team Kakashi Graphic Printed Oversized T-shirt,599,1449,4.5
24,bewakoof x peanuts,Men's Black Need Space Snoopy Graphic Printed Oversized T-shirt,599,1299,4.5
25,bewakoof x marvel,Men's Green & Black All Over Printed Oversized T-shirt,699,1099,4.4
26,bewakoof x minions,Men's Maroon Rainbow Minion Graphic Printed Oversized T-shirt,539,1599,4.5
27,bewakoof x rick and morty,Men's Orange Bit Rick & Morty Graphic Printed Oversized T-shirt,571,1249,5
28,Bewakoof®,Men's Black T-shirt,499,999,4.5
29,Bewakoof®,Men's White Wander Geometry T-shirt,499,1099,4.4
30,Bewakoof®,Men's Black Team Blue Graphic Printed Oversized T-shirt,629,1549,4.4
