Column1,productname,productsubname,productprice,productactualprice
0,Classic Crew,Classic Crew,1500,1800
1,Classic Crew,Classic Crew,1500,1800
2,Classic Crew,Classic Crew,1500,1800
3,Classic Crew,Classic Crew,1800,2300
4,Classic Crew,Classic Crew,1500,1800
5,Classic Crew,Classic Crew,1500,1800
6,Classic Crew,Classic Crew,1800,2300
7,Classic Crew,Classic Crew,1500,1800
8,Classic Crew,Classic Crew,4500,5900
9,Supima Polo,Supima Polo,1800,1800
10,Supima Polo,Supima Polo,1800,1800
11,Supima Polo,Supima Polo,1800,1800
12,Supima Polo,Supima Polo,1800,1800
13,Supima Polo,Supima Polo,1800,1800
14,Supima Polo,Supima Polo,5000,5400
15,Supima Polo,Supima Polo,1290,1800
16,Classic V,Classic V,1500,1500
17,Classic V,Classic V,1500,1500
18,Classic V,Classic V,1500,1500
19,Classic V,Classic V,1800,2300
20,Classic V,Classic V,4500,5300
21,Classic Suvin,Classic Suvin,4900,4900
22,Suvin V,Suvin V,4900,4900
23,Classic Crew,Classic Crew,2300,2300
