Column1,productname,productsubname,productprice,productactualprice
0,Deadpool: Kill For Tacos,T-Shirts,799,799
1,Harry Potter: Hogwarts,Zipper Polos,1299,1299
2,Naruto: Yin-Yang,Oversized T-Shirts,899,899
3,Naruto: Itachi Uchiha,Oversized T-Shirts,1049,1049
4,Baki Hanma: You Shouldn't Have,Oversized T-Shirts,1299,1299
5,Harry Potter: Slytherin,T-Shirts,599,599
6,Deadpool: Anti-Hero,Oversized T-Shirts,1399,1399
7,Transformers: Bumblebee,Oversized T-Shirts,949,949
8,Baki Hanma: The Strongest,Oversized T-Shirts,999,999
9,Black Panther: Wakanda Forever,Zipper Polos,999,999
10,Marvel: Loki God Of Mischief,Zipper Polos,999,999
11,Punisher: It's Time,T-Shirts,749,749
12,Punisher: Skull,Zipper Polos,999,999
13,Solids: Regal Black,Oversized Polos,1299,1299
14,Superman: Man Of Steel,Polos,1299,1299
15,TSS Originals: Cadmium,Zipper Polos,1049,1049
16,TSS Originals: Kale,Hooded T-Shirts,1499,1499
17,Top Gun: 1986,Polos,1299,1299
18,Jungle Book: Jungle Tales,Oversized T-Shirts,899,899
19,Solids: Yellow,Oversized T-Shirts,699,999
20,Harry Potter: Death Eater,Oversized T-Shirts,999,999
21,Punisher: Classic Logo,T-Shirts,549,699
22,TSS Originals: Fusion Bandana,Oversized T-Shirts,949,949
23,Punisher: Cold Fury,Oversized T-Shirts,1049,1049
24,Naruto: Sasuke,Oversized Full Sleeve T-Shirts,999,999
25,Tie-Dye: Grape Wine,Oversized Full Sleeve T-Shirts,999,999
26,Batman: 3D Logo,T-Shirts,799,799
27,Solids: Black & White Colourblock,Polos,999,999
28,The Godfather: Corleone,T-Shirts,799,799
29,Joker: Forever Evil,Oversized T-Shirts,999,999
30,DC: Batman Logo,Drop Cut T-Shirts,899,899
31,Solids: Electric Blue,Oversized T-Shirts,699,699
32,TSS Originals: Cactus,Oversized T-Shirts,899,899
33,TSS Originals: Poster,Oversized T-Shirts,1049,1049
34,Looney Tunes: The Coyote,T-Shirts,649,649
35,The Office: I Manage,T-Shirts,699,699
36,Classic Sustainable Tee: Wine,T-Shirts,599,599
37,Courage: Kinda Antisocial,T-Shirts,799,799
38,Harry Potter: Gryffindor Rugby Set,Hooded T-Shirts,1299,1299
39,TSS Originals: Sphinx,Oversized Full Sleeve T-Shirts,1299,1299
40,Deadpool: Action Packed,Oversized T-Shirts,1199,1199
41,Classic Sustainable Tee: Emerald Green,T-Shirts,549,699
42,Solids: Eggshell White,Oversized T-Shirts,899,899
43,Solids: Black,Oversized T-Shirts,799,999
44,Minions: Procrastinator,T-Shirts,649,649
45,Batman: Wayne Industries,Drop Cut T-Shirts,749,749
46,F.R.I.E.N.D.S: How You Doin,T-Shirts,849,849
47,Marvel: Deadly Duo,Hooded T-Shirts,1299,1299
48,Tom & Jerry: Munching Mischief,Oversized T-Shirts,999,999
49,TSS Originals: Street Division,Men Rugby Polos,1299,1299
50,Solids: White,T-Shirts,499,499
51,Solids: Black,T-Shirts,599,599
52,TSS Originals: Antique Red,Oversized Polos,1249,1249
53,TSS Originals: Cinnamon,Zipper Polos,999,999
54,Bugs Bunny: Dayum,Oversized T-Shirts,1049,1049
55,Harry Potter: Slytherin Gang,Oversized T-Shirts,999,999
56,Black Panther: Panther Power,Oversized T-Shirts,1049,1049
57,Popeye: Spinach Power,Oversized T-Shirts,999,999
58,Garfield: Guarding Me?,Hooded T-Shirts,999,1399
59,Classic Sustainable Tee: Coffee Brown,T-Shirts,599,599
60,Rick & Morty: Wubba Lubba Dub Dub,Oversized T-Shirts,1049,1049
61,Marvel: Superhero Shades,Zipper Polos,1049,1049
62,Wolverine: Clawed,T-Shirts,999,999
63,Deadpool: Let's Kick Bad Guys,T-Shirts,699,699
64,Lord Of The Rings: You Shall Not Pass,Oversized T-Shirts,949,949
65,TSS Originals: Chillin',Oversized T-Shirts,949,949
66,Supima: Dark Grey,Supima T-Shirts,999,999
67,Disney: Bare Necessities,T-Shirts,599,599
68,TSS Originals: Shroomy Vibes,Oversized T-Shirts,899,899
69,Solids: Rouge Red,Oversized T-Shirts,999,999
70,Richie Rich: Exact Change,Oversized T-Shirts,999,999
71,Solids: Denim Blue,Oversized T-Shirts,549,999
72,Solids: Mossy Green,T-Shirts,599,599
73,Deadpool: Self-Love,Oversized T-Shirts,1049,1049
74,One Piece: Going Merry,Oversized T-Shirts,1249,1249
75,TSS Originals: In Spirit,Oversized T-Shirts,1299,1299
76,Tom & Jerry: Toasted,Oversized T-Shirts,1199,1199
77,Spider-Man: Miles Logo,T-Shirts,549,549
78,Solids: Berry Blue,Oversized Polos,1299,1299
79,Solids: Navy Blue,Oversized T-Shirts,899,899
80,Popeye: Seas The Day,Oversized T-Shirts,1499,1499
81,Supima: Wine Red,Supima T-Shirts,999,999
82,The Godfather: Honor,Oversized Full Sleeve T-Shirts,899,899
83,Kung Fu Panda: Back Off,Oversized T-Shirts,999,999
84,Solids: Vintage Blue,T-Shirts,599,599
85,TSS Originals: Blue Melange,Men Full Sleeve T-Shirts,999,999
86,Solids: Emerald Green,Oversized T-Shirts,899,899
87,Deadpool: Let's Go!,Oversized T-Shirts,1049,1049
88,Peanuts: Snoopy Sketch,Oversized T-Shirts,999,999
89,Solids: Black (Oversized),Oversized Full Sleeve T-Shirts,999,999
90,Solids: Berry,Oversized T-Shirts,999,999
91,ISRO: An Endless Adventure,T-Shirts,499,699
92,TSS Originals: Spirit Mosaic,Oversized T-Shirts,1299,1299
93,Solids: Aster,Polos,899,899
94,Solids: Brown Sugar,Oversized T-Shirts,799,999
95,Supima: Deep Brown,Supima T-Shirts,999,999
96,The Boys: Doodle,Oversized T-Shirts,899,899
